listing_id,description,Room_type
33223,Cozy BR in Wiliamsburg 3 Bedroom,private Room
34760,Sunny Room in Old Historical Brooklyn Townhouse,private Room
35526,Sun Filled Classic West Village Apt,private Room
36133,Classic Artist Loft Williamsburg,private Room
36703,"Sunny, clean 1 bdrm in W. Village",entire home/APT
38638,Light and Airy Upper East Side 1 BDR apartment,entire home/apt
39267,CENTRAL PARK LOFT all for YOU,entire home/APT
39282,Indie-Chic Share In Williamsburg,private Room
39593,"A room w/ a Manhattan view, longer stay",private Room
39704,"Private, Large & Sunny 1BR w/W&D",entire home/apt
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt
42580,Parlor Room In Victorian Townhouse,private Room
42729,House On Henry (2nd FLR Suite),entire home/APT
42882,New York room with a view,private Room
43957,Sunny cozy room in Brklyn townhouse,private Room
44096,Room with a View,private Room
44212,West Inn 2 - East Village,private Room
44221,Financial District Luxury Loft,entire home/apt
44229,BROOKLYN VICTORIAN STYLE SUITE.....,private Room
44288,Your own Lovely West Village Studio,entire home/apt
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt
45556,"Fort Greene, Brooklyn: Center Bedroom",private Room
45910,Beautiful Queens Brownstone! - 5BR,entire home/apt
45936,Couldn't Be Closer To Columbia Uni,private Room
45940,Bright Spacious Luxury Condo,entire home/apt
46544,Park Slope haven 15 mins from Soho,entire home/apt
46723,SAFE  AND BEAUTIFUL ACCOMODATION,private Room
46911,Large Room in private Brownstone in Park Slope,private Room
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private Room
47926,LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt
51485,Lower East Side $57~/night,private Room
51572,Prime Location in Manhattan,private Room
51850,( F) Excellent/Pvt Rm,private Room
53137,"Quiet, sunny Midtown Manhattan apt.",entire home/apt
53477,3 floors of luxury!,entire home/APT
54158,The Institute‚ÄîHeart of Williamsburg,entire home/apt
54508,Sml Rm in pr Brst  Park Sl great for Med/students,private Room
54544,City Room - Private Penthouse Apt.,entire home/apt
54626,Cozy bedroom by Yankee Stadium,private Room
54860,Great apartment with private bathroom and entrance,private Room
55467,Private Garden Apt ‚Ä¢ New Renovation,entire home/apt
55498,Modern comfort in art infused landmark Brownstone,private Room
55737,Sleek & Comfortable Soho Apt,entire home/apt
55959,Spacious Williamsburg Share w/ LOFT BED,private Room
56467,Cozy East Village Railroad 1 Bed!,entire home/apt
56525,1 Bedroom Loft w/ Private Roof Deck,entire home/apt
56859,City Room - Private & Comfy Bedroom,private Room
57166,Elegant NYC Pad,entire home/apt
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt
57468,"Modern, Large East Village Loft",entire home/apt
57618,"Great new apt, close to everything",entire home/apt
57740,Quiet & Clean Retreat in the City,entire home/apt
57754,Stylish Large Gramercy Loft!,entire home/APT
57874,The Brownstone-Luxury 1 Bd Apt/NYC,entire home/APT
58059,PRIVATE Room on Historic Sugar Hill,private Room
58062,South Slope Green,private Room
58467,"17 Flr. Manhattan Views, Nr. Subway",private Room
59014,"Spacious 1BR, Adorable Clean Quiet",entire home/apt
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
60164,"Beautiful, elegant 3 bed SOHO loft",entire home/apt
60457,Spacious Greenwich Village Apt,entire home/apt
60666,City Room - Private Luxury Suite,private Room
60680,The gem of the East Village,entire home/apt
60948,ACCOMMODATIONS GALORE #2,entire home/apt
61406,Great room in great location,private Room
61492,Exclusive Room with Private Bath in  LES,private Room
61509,"Quiet, clean midtown apt w. elevato",entire home/apt
62095,BK Sweet Suite w/Kitchen&FullBath,entire home/apt
62427,Great East Village Apartment Rental,entire home/apt
62430,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
62452,A SpeciaL!! Private Room in NY,private Room
62461,B NYC Staten Alternative...,private Room
62787,C Private Room By The Ferry,private Room
62891,Smallest House In The Village,entire home/apt
62903,Beautiful modern studio apartment in heart of NYC,entire home/APT
62925,Beautiful Landmarked Duplex,entire home/apt
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private Room
63320,D Private Che@p Room 2 Explore NYC,private Room
63360,Safe cute near subway& Manhattan NY NY retro style,entire home/apt
63546,Large and Cozy Private Bedroom,private Room
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt
63693,Cottage in the Village,entire home/APT
64000,Williamsburg near soho. / loftbed,private Room
64107,BROOKLYN  STUDIO APARTMENT,private Room
64277,BEDROOM2 FOR RENT  10min from Manh,private Room
64314,cozy bedroom in lovely garden apt,private Room
64365,Crown Heights Garden Apt.,private Room
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt
64837,ENJOY Downtown NYC!!,private Room
65019,Charming UWS Treehouse Apt,entire home/apt
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private Room
65562,CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt
65615,Farmhouse Apartment in Williamsburg,entire home/apt
65660,Bright+Spacious Williamsburg Abode!,entire home/apt
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private Room
66008,CHARMING CARROLL GARDENS APT.,entire home/apt
66026,Private Bedroom Brownstone Brooklyn,private Room
66251,East Village Loft with Piano & Patio,entire home/apt
66275,Lower East Side Magic Room,private Room
66451,**Fantastic Williamsburg Apt**,entire home/apt
66718,West Harlem Home Base - Eco-Apt.,entire home/apt
66741,Charming Garden Apt in Park Slope,entire home/apt
66974,"Lovely, Modern, Garden Apartment",entire home/apt
67288,Central Park 1BR sunny condo,entire home/apt
67299,Cozy Garden Apartment  in Williamsburg,entire home/apt
67397,SoHa comfort-by NW Central Park!,private Room
68099,Cozy room in Upper West Side,private Room
68403,The Cozy Brownstone Inn (discount)!,entire home/apt
68735,Prewar Penthouse w Private Terrace,entire home/APT
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,entire home/apt
68974,Unique spacious loft on the Bowery,entire home/APT
69894,"Nice renovated apt, prime location!",entire home/apt
69921,Brooklyn Writer's Nook,private Room
70095,Private Bedroom in Large NYC Apartment,private Room
70128,"Large, Sunny Room East Village NYC",private Room
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,entire home/APT
71010,All That Jazz. Uptown style on Sugar Hill.,entire home/apt
71248,Bright and lovely 1 bdrm apt in LES,entire home/apt
71366,Beautiful One Bed West Village - 4 Month Special,entire home/apt
71812,Condo Apartment with laundry in unit,entire home/apt
72190,1BR: See Central Park from Terrace!,entire home/apt
72265,Private room in cozy Greenpoint,private Room
74073,Food & Music Dream Apartment in Williamsburg,entire home/apt
74240,French Garden cottage off Bedford,entire home/APT
74680,One Bedroom Mini studio - Free WIFI,entire home/apt
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,private Room
75635,Bright Cozy Chinatown Studio Apt.,entire home/apt
76761,Eveland the Place to Stay & Enjoy a 5-‚?êÔ?è 2bdrm,entire home/apt
77765,Superior @ Box House,private Room
77936,Hells Kitchen Garden of Eden,private Room
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,entire home/apt
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",private Room
80493,Cozy room in East Village with AC,private Room
80700,Loft w/ Terrace @ Box House Hotel,private Room
82550,Columbia Castle 2 BR,entire home/apt
82638,"Charming Artist's Flat, East Village",entire home/apt
82928,BEAUTIFUL 2 BEDROOM APARTMENT,entire home/apt
83243,Brooklyn Cove Studio Apt w/ Garden!!,entire home/apt
83847,East Village Designer's 1-BR APT,entire home/apt
84010,Superior @ Box House,private Room
84659,Large Studio--Heart of East Village,entire home/apt
84905,Huge.Bright.Clean.Safe. Private Room,private Room
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,entire home/apt
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,entire home/apt
89621,"WONDERFUL, COMFORTABLE STUDIO",entire home/apt
93313,MAISON DES SIRENES 2,entire home/apt
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",private Room
94477,The Vernon On Greene,entire home/apt
94783,"Beautiful, Bright‚Äôs, Warm & Spacious 1.5BR Apt",entire home/apt
96471,"The Brooklyn Waverly, One Bedroom",private Room
99070,Comfortable Cozy Space in El Barrio,Shared Room
99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,entire home/apt
100002,"MANHATTAN Neat, Nice, Bright ROOM",private Room
100184,Bienvenue,private Room
100186,Large Brand New Park Slope 1BR,entire home/apt
101053,Colorful Artistic Williamsburg Apt,private Room
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,entire home/apt
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,entire home/apt
105510,Private 1-Bedroom Apt in Townhouse,entire home/apt
106363,Bright Room With A Great River View,private Room
106647,Tree lined block modern apartment,entire home/apt
107630,Sweet Historic Greenpoint Duplex,entire home/APT
107895,Riverside Charm with Fire Place,entire home/apt
110739,"Very Central, Nomad/Chelsea Loft Studio",entire home/apt
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,private Room
113265,Brooklyn- Crown Heights Garden Apt.,private Room
113945,Cozy room in Time Square!,private Room
114123,Large Park Slope Townhouse Duplex,entire home/apt
114229,Lower East Side 2 Bedroom Apt,entire home/apt
115535,Sun-Drenched Hamilton Hts Jewel,private Room
115678,Your Stunning Vacation Apartment!,entire home/apt
115748,1 BDRM Apt-Weekend Sublease,entire home/apt
116940,ROOM WITH A  KITCHENETTE,entire home/apt
118061,Style in Stuyvesant Heights,entire home/apt
118430,Heart of Meatpacking & Chelsea,private Room
120362,Williamsburg apartment right by the subway,entire home/apt
121687,Spacious Brooklyn Loft - 2 Bedroom,entire home/apt
123784,NYC Studio for Rent in Townhouse,entire home/apt
125053,‚ö°Quiet Gem w/roof deck on NY's Hottest Street‚ö°,entire home/apt
125163,Authentic New York City Living,private Room
125594,SUPER BIG AND COZY PRIVATE BEDROOM,private Room
126443,‚òÜMassive DUPLEX‚òÜ 2BR & 2BTH East Village 9+ Guests,entire home/apt
128975,City Room - Street View Apt,entire home/APT
131154,Cozy and Bright One Bedroom in BK,entire home/apt
132516,Forest Hills Apt minutes to midtown Manhattan,entire home/apt
133025,Midtown cozy convenient,private Room
134934,Prime Williamsburg Apartment,entire home/apt
135393,"Private, spacious room in Brooklyn",private Room
135465,Garden apartment close to Manhattan,entire home/apt
136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,entire home/apt
139624,"Spacious,Sunny, private one bedroom",entire home/apt
140133,Truly Amazing Oasis In The City,entire home/apt
140973,"East Village, King-Sized, Charmer",entire home/APT
141154,Affordable Furnished Apartment,entire home/apt
141984,Charming Nolita Apartment!!,entire home/apt
144087,LUXURY OF THE HORIZON,entire home/apt
146754,Three-bedroom house in a quiet neighborhood,entire home/apt
147586,Beautiful Duplex w/Private Garden,entire home/apt
148259,Garage Designer Loft,entire home/apt
148825,Best City Area Columbia U Upper West Side C Park,entire home/apt
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,entire home/APT
150804,Lower East Side 2 Bed Apt.,entire home/apt
151199,Astoria-Private Home NYC-,entire home/apt
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,private Room
152259,City Room - Semi Private Bedroom,private Room
152263,Cozy apartment in a brownstone,entire home/APT
153405,Greenpoint Spacious Loft,entire home/apt
153780,Private E. Village Townhouse Stay,private Room
155296,Incredible Prime Williamsburg Loft!,entire home/apt
157673,Large  Loft Style  Studio  Space,entire home/apt
158176,Entire Apt in Heart of Williamsburg,entire home/APT
158290,Clinton Hill + Free Coffee = #smile,private Room
158955,PRIVATE and SUNNY Williamsburg Apt!,entire home/APT
159749,Purple Room for 2/3 in brownstone $1450 per month,private Room
159815,Red Room for two in Brownstone for $1355/mo,private Room
159913,"Chelsea living, 2BR best location",private Room
160609,LOCATION LOCATION LOCATION UWS 60's,entire home/apt
160994,In the heart of East Village,entire home/APT
161366,Sunny 15min to Manhattan LADY only,private Room
161996,Manhattan Penthouse-Max.12 guests,entire home/APT
162508,Beautiful Brooklyn Oasis,entire home/apt
163809,Cool & Spacious Harlem Artist Flat,entire home/apt
163814,‚òÜ STUDIO East Village ‚òÜ Own bath! ‚òÜ Sleeps 4 ‚òÜ,entire home/apt
163836,Greenpoint Loft / Le Chez Andrea,private Room
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",private Room
165461,Couldn't Be Closer To Columbia Uni2,private Room
165824,Lady only Curtain-divided room,private Room
166172,LG Private Room/Family Friendly,private Room
166541,Spacious Quiet rm - 20mins to Midtown,private Room
167482,Charming upper west side apartment,entire home/APT
168084,Light-filled East Village Delight,entire home/APT
168123,"Sunny, quiet, legal homelike suite-Pk Slope South",entire home/apt
169002,Modern Space in Charming Pre-war,private Room
169306,Affordable & Cozy,private Room
169464,Creative Vintage Loft in S. Williamsburg,entire home/APT
170761,"Fort Greene, Brooklyn: Front Bedroom",private Room
173072,Cozy Pre-War Harlem Apartment,Shared Room
173151,spacious studio,private Room
173742,"Elegant 2-BR duplex, Union Square",entire home/apt
176653,East Village bedroom w rooftop,private Room
176962,Williamsburg Home Away From Home!,entire home/apt
177421,Brand New Beautiful Duplex Apartment with Garden,entire home/apt
177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",entire home/apt
177606,SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,entire home/apt
179670,High-end doorman bldg in the LES,private Room
179741,Spring & Mulberry 2 Bedroom Apartment,entire home/apt
180792,Modern Garden Apartment in NYC,entire home/apt
181972,Gorgeous Entire Manhattan Townhouse,entire home/APT
182069,Cozy studio Apartment in Upper East,entire home/apt
182095,Historic classic central cozy Village clean NYU,entire home/apt
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,entire home/APT
182649,Williamsburg bedroom by Bedford Ave,private Room
185266,Clean and bright with a comfortable atmosphere,private Room
187566,Historic Brooklyn Studio Apartment,entire home/apt
189135,Hell's Kitchen Funky 80's Hideaway!,private Room
189732,Family & Friends in New York City,entire home/APT
189787,Spacious & Comfy BK Brownstone,entire home/apt
190267,Large Luxury Upper East Side Studio,entire home/apt
190542,Chateau Style Brooklyn Loft for Singles or Couples,entire home/apt
190968,Lovely Brooklyn Brownstone 1BR!,entire home/apt
190974,Beautiful Grdn. Apt. in Park Slope,entire home/apt
191075,Sun-drenched East Village Penthouse,private Room
193105,Columbus Circle Luxury Bldg - Private Room&Bath,private Room
193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",private Room
195123,"Cheerful, comfortable room",private Room
195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!,private Room
195240,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",private Room
195971,2 Beds over Bed-Stuy,entire home/apt
195989,"Sunny, Large, Park Slope Bedroom",private Room
197155,Quiet Jr Alcove Near Times Square!,entire home/apt
197753,Large room in elevator drman bldg,private Room
197942,"Comfy, Cozy, Brooklyn close to Manhattan",entire home/apt
199195,Modern Bedroom in Hamilton Heights,private Room
199312,Sunny Space in Williamsburg,private Room
201992,Serene Park Slope Garden Apartment,entire home/apt
204065,St. James Pl Garden Studio 1block to PRATT &Gtrain,entire home/apt
204959,Comfortable. Spacious. Private Room.,private Room
205043,Modern Condo in Midtown,private Room
205485,Ideal Brooklyn Brownstone Apartment,entire home/apt
205735,"A Cozy Oasis in Bushwick, NY",private Room
205867,Private Entrance - Private Parking,entire home/apt
206071,Yankee Stadium Oasis 2 stops to Manhattan!,private Room
206772,Williamsburg Exposed Brick Loft,entire home/apt
208889,Welcome to Brooklyn! Bed-Stuy,entire home/APT
209310,Sunnyside NYC/ AC room/ city views/ near Midtown,private Room
211974,East Village House -- Unique!,entire home/apt
212109,2-bedroom share in heart of Greenwich Village!,private Room
212178,1 Bedroom Pre War apt,entire home/apt
213272,CreaTive Live-In Artspace/Birdsnest,private Room
215560,"Sunny, calm room in Victorian home",private Room
215784,Modern Unique Studio in NYC,entire home/apt
215907,"2 Bed, 2 Bath Apartment on Central Park West",entire home/apt
218358,Your Haven in the Upper West Side,private Room
219066,"Wonderful Studio In Brooklyn, NY!!!",entire home/apt
219922,"Lovely Bdr in Harlem, Manhattan",private Room
220351,THE BEST DEAL ON THE HUDSON RIVER!!,private Room
220946,Newly Reno‚Äôd Chic Quiet Exec 1BR,entire home/apt
221097,Large Artist Floorthru- Greenpoint,entire home/apt
221618,Gorgeous PermaGO Private Room in FiDi - 1/2,private Room
222304,BEST DEAL IN CHELSEA 1 bdrm NYC,entire home/apt
223930,Lovely Apartment,entire home/apt
225306,Charming room in Victorian home,private Room
225887,Brooklyn B & B close to Manhattan,private Room
225926,The Notorious B.N.B. { The Erhart },private Room
225976,Sunny cozy multileveled apartment!,entire home/apt
226021,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,entire home/apt
227715,ROOM WITH KITCHENETTE #2,entire home/apt
227735,Alpha-Bet City entire floor large cool 2br -L.E.S,entire home/apt
228317,"Your Haven Awaits At ""Emma's Place""",entire home/apt
228496,"Spacious, Kid-Friendly 2 BR in West Village",entire home/APT
228517,Great Bedroom in Downtown Manhattan,private Room
228925,Beautiful Brownstone,entire home/apt
229367,COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,private Room
230321,Apt with EmpireState view-Subway around the corner,entire home/APT
230854,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,private Room
230877,Monthly Apartment Rental,entire home/apt
232612,"Lovely pied-?†-terre, in an historic building",entire home/apt
232618,"Spacious, well furnished, high fl. beautiful views",entire home/apt
233189,NYC Studio in Heart of Times Square,entire home/apt
233662,Large Sunny Luxe Prvt Room/Midtown,private Room
234184,Spacious Stunning Harlem Townhouse,entire home/apt
235552,HUGE Sunny Duplex Loft with Garden,entire home/apt
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,private Room
235951,Stylish Studio with exclusive Terrace,entire home/APT
236671,"Williamsburg Garden Home, 5 minutes from Manhattan",entire home/apt
236788,"HUGE, modern 2-LEVEL Brooklyn apt",entire home/apt
237127,LOCATION LOCATION LOCATION Liz's,entire home/apt
239733,Astoria Garden Suite,entire home/apt
239883,Private Room in Fort Green BK close to city,private Room
240800,Private Room Near Brooklyn Museum,private Room
241140,The Notorious B.N.B. { The Wallace },private Room
241159,Clinton Hill 1 Bed Bright Loft Apartment,entire home/apt
241862,Great Studio in W. Village - NYC!,entire home/apt
242532,The Notorious B.N.B. { The Swoon },private Room
242643,"BIG 1br, SLEEPS 4, dishwashr, TV",entire home/apt
243708,Williamsburg  - Quiet and Comfy stay,entire home/apt
245504,One Fabulous Private Room,private Room
245544,NY/ Big Room for 2 near Manhattan,private Room
245574,Brooklyn Brownstone apartment,entire home/APT
245607,big 1 bedroom apt very central,entire home/apt
246916,Quality Cozy Studio Next to Subway,entire home/apt
246938,Scandinavian-apt for up to 5. LES,entire home/apt
248865,Loft Suite @ Box House Hotel,entire home/apt
248871,4 BEDROOM -2BATHRM WEST VILLAGE DUPLEX  TOWNHOUSE,entire home/apt
250259,Pre-War Williamsburg Loft,entire home/apt
250801,Heart & Soul of Greenwich Village,entire home/apt
251262,Prime Williamsburg Loft off Bedford,private Room
251277,Private Bdrm /Bath 1 block Ctrl Prk,private Room
252076,+Highly Satisfactory LES dwelling++,private Room
253466,Loft Suite @ The Box House Hotel,entire home/apt
253475,Loft Suite @ The Box House Hotel,entire home/apt
253590,Large 1 Bedroom furnished on UWS,entire home/apt
253800,Loft Suite @ Box House Hotel,entire home/apt
253803,Loft Suite @ The Box House Hotel,entire home/apt
253806,Loft Suite @ The Box House Hotel,entire home/apt
253811,Loft Suite @ The Box House Hotel,entire home/apt
253815,Loft Suite @ The Box House Hotel,entire home/apt
254131,"Read it 1st, A seprat fur BR, low $",private Room
255024,"3BR, 2 bathroom condo in Bushwick",entire home/apt
255476,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",private Room
255601,Cozy 2 Bedroom 20 Min from City,entire home/apt
255957,NOLITA! LOCATION! LOCATION! VIEWS! FREE GYM!,entire home/apt
256078,"Entire apt NYC, Queens. 15 min from Times Square.",entire home/apt
256328,Luxury Chelsea Townhouse at the High Line,entire home/apt
256369,Alchemy BnB - room in artist loft,private Room
257097,Sunny! 2br Steps to train/restaurants - 15 to NYC,entire home/APT
257787,Heart of Williamsburg. Brand New.,private Room
258284,"Fresh, Clean Brooklyn Garden Apt.",entire home/apt
258397,Guest Apartment in Owner Occupied Home,entire home/apt
258688,Spacious & Stylish Chelsea One Bedroom Apartment,entire home/apt
258838,"Oceanview,close to Manhattan",entire home/apt
259946,"Budget stay, near transportation",entire home/apt
260765,NewYork Modern Pre-War LoftStudio,entire home/apt
261194,Cozy Artist Duplex **Bedstuy Charm**,entire home/APT
261344,Inspired in Historic Downtown NYC!,private Room
262343,Cozy & Clean Lower East Side Apt.,entire home/apt
262405,Spacious Townhome Apt in Brooklyn,entire home/apt
262583,Landmark 2 Bedroom West Village NYC,entire home/apt
263005,2 bedroom apt in charming brick townhouse,entire home/apt
263190,Room in East Village with Private Entrance,private Room
263232,Cozy&Clean in a great neighborhood,entire home/apt
263776,City Skyline Views from every room!,private Room
263888,Contemporary & Classic Sanctuary on the Hudson,entire home/apt
264323,Comfortable Manhattanville,private Room
265036,Private room w/ queen bed + rooftop,private Room
266146,Beautiful studio by Central Park,entire home/apt
266155,One bed suite with private garden,entire home/apt
266449,2 Bedroom Gem - Prime LES Location,entire home/apt
267376,BIG ROOM / DOWNTOWN  LOFT /,private Room
267435,Large Sunny Bedroom in QNS NYC,private Room
267535,Home Away From Home-Room in Bronx,private Room
267652,Private clean pleasant spacious room.,private Room
267708,"Charming Hotel Alternative
Mount Sinai",private Room
268392,SUNNY 2-bdrm CHILD-friendly Uptwn by Centrl Park!,entire home/APT
268868,Hudson Yards with views of The Highline Park,entire home/apt
269283,Brooklyn: A Huge Bedroom + Good Vibes,private Room
269889,One stop from Midtown Manhattan!,private Room
